event_time,user_host,thread_id,server_id,command_type,argument
"2023-10-16 16:30:37.015985","root[root] @ localhost [::1]",18,1,Query,...
"2023-10-16 16:30:37.027884","root[root] @ localhost [::1]",17,1,Query,...
"2023-10-16 16:30:39.420008","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:30:42.431032","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:30:45.442736","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:30:48.456685","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:30:51.468358","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:30:54.482911","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:30:57.500158","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:00.518852","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:03.531180","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:06.548818","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:09.559017","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:12.569495","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:15.584171","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:18.595209","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:21.605993","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:24.617590","root[root] @ localhost [::1]",27,1,Query,...
"2023-10-16 16:31:24.718308","root[root] @ localhost [::1]",18,1,Query,...
"2023-10-16 16:31:24.728871","root[root] @ localhost [::1]",18,1,Query,...
"2023-10-16 16:31:24.729300","root[root] @ localhost [::1]",18,1,Query,...
"2023-10-16 16:31:24.729806","root[root] @ localhost [::1]",18,1,Query,...
