event_time,user_host,thread_id,server_id,command_type,argument
"2023-10-14 15:16:16.769048","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:16:16.787084","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:16:16.799941","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:16:16.800746","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:16:16.804461","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:16:57.816049","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.443799","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.469511","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.486544","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.487257","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.499771","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.709114","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.710404","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.710984","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.716276","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.716742","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.721807","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.918165","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.918750","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.919472","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.924751","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.925384","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:01.929665","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.036963","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.037531","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.038798","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.045509","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.046755","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.054809","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.264137","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.271572","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.278927","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.280364","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.285027","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.359933","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.360504","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.361783","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.365110","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.366416","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.370911","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.430077","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.430641","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.431096","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.434106","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.434487","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.438413","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.588800","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.589434","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.589861","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.594102","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.594535","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.598414","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.986152","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:02.986600","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:03.017929","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:03.021663","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:03.024792","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:03.030015","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:03.033627","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:19:03.063302","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.548569","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.571841","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.575420","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.579182","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.744498","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:20:12.747723","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.748964","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.750494","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.839811","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:20:12.847036","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.848077","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.849763","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.929705","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:20:12.932682","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.933773","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.934859","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.943909","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:20:12.946792","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.950817","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:12.952620","root[root] @ localhost [::1]",9,1,Query,...
"2023-10-14 15:20:13.024889","root[root] @ localhost [::1]",8,1,Query,...
"2023-10-14 15:20:13.033541","root[root] @ localhost [::1]",9,1,Query,...
